firmware_id,drone_vendor,drone_model,firmware_version,file_name,file_format,file_size_bytes,sha256_hash,is_signed,signature_type,encryption_used,compression_used,cpu_architecture,os_type,bootloader_present,filesystem_detected,entropy_score,avg_section_entropy,max_section_entropy,string_count,num_executables,num_scripts,hardcoded_ip_count,hardcoded_url_count,crypto_function_count,boot_time_ms,emulated_syscalls,clean_label
FW0001,DJI,Phantom 4,v2.2.1,dji_phantom_4_1.fw,fw,11228452,364db767ded5545dcf1bf9646d9ecb2e302a48d2093f02db4217f770072fc2d4,1,RSA,1,0,ARM,Linux,1,SquashFS,6.17,6.52,7.42,19856,7,1,1,2,22,826,244,1
FW0002,Parrot,Bebop 2,v2.5.1,parrot_bebop_2_2.img,img,11323815,a281375635e987be20018dc13251f4b147cc5cd2b4a99203b2f16b05c3a87cd9,1,RSA,1,0,MIPS,RTOS,1,None,6.22,5.57,7.31,6090,7,0,1,2,28,1587,230,1
FW0003,DJI,Phantom 4,v1.3.1,dji_phantom_4_3.fw,fw,9646997,8033be982a6d8027efa5eba6afabc5d332898c662e54156c03a90913e11ef693,1,ECDSA,1,1,MIPS,Linux,1,YAFFS,6.37,6.64,7.57,4339,3,1,0,1,29,1905,286,1
FW0004,Parrot,Bebop 2,v3.6.4,parrot_bebop_2_4.bin,bin,9685577,31892069ee3c0ec8dd1ea923d15b6b547026f7b1018b910b83dae4e6489505f7,1,RSA,0,1,ARM,Bare-metal,1,YAFFS,6.43,7.05,7.3,10679,3,1,1,2,32,2435,142,1
FW0005,Parrot,Anafi,v1.1.2,parrot_anafi_5.fw,fw,18559643,4fc38a10767a72dba4f002236b3d263ba8910e71177a69adbe666c7a6882f72a,1,RSA,1,0,MIPS,RTOS,1,None,7.39,6.4,7.87,2376,2,2,1,0,23,2580,90,1
FW0006,ArduPilot,Cube Orange,v5.2.8,ardupilot_cube_orange_6.fw,fw,31388747,e0cbbca9fad5beb21d62e402719868e277bb9710a0b0b7427a34d17dca2accd5,1,RSA,1,0,ARM,RTOS,1,SquashFS,6.66,6.82,7.38,2018,6,3,0,0,28,2059,111,1
FW0007,DJI,Phantom 4,v4.1.8,dji_phantom_4_7.fw,fw,4642648,616b4dd56668337c49fe39214831ebad5bb1de14aa0886443f821e00a08d4eaf,1,RSA,0,1,ARM,RTOS,1,None,7.2,6.22,7.03,19671,4,2,1,2,28,2594,280,1
FW0008,ArduPilot,Cube Orange,v3.0.9,ardupilot_cube_orange_8.bin,bin,9539591,2ee9075a5b030585495afb986e3860af160516c8f81ce10601c99ba1f8ca642f,1,RSA,0,0,ARM,Bare-metal,1,None,5.89,5.61,6.83,12827,2,1,1,2,36,1677,188,1
FW0009,Parrot,Bebop 2,v4.3.1,parrot_bebop_2_9.bin,bin,28327459,abb57186cc01cd41f52b4c0181b298928c4f8b4008df250aa1d762f8c7a3165e,1,RSA,1,1,MIPS,RTOS,1,YAFFS,7.18,5.59,7.52,5224,1,3,1,0,20,1584,98,1
FW0010,ArduPilot,Cube Orange,v4.3.1,ardupilot_cube_orange_10.img,img,8156836,33c24f26ddcc9e4a9dd9aac91ca5b0ab262cd023356433c5acf7ec68db3edd8b,1,ECDSA,0,0,ARM,Linux,1,SquashFS,6.07,6.33,7.04,15141,1,1,1,0,29,1886,287,1
FW0011,ArduPilot,Cube Black,v4.2.3,ardupilot_cube_black_11.img,img,25373732,134e796a789da00e03a96705ba98ba8350d76abacf52a4365700cc1f6842f03c,1,ECDSA,0,0,ARM,Bare-metal,1,YAFFS,5.89,6.49,7.35,19403,3,0,0,0,9,1078,222,1
FW0012,Parrot,Bebop 2,v2.9.9,parrot_bebop_2_12.bin,bin,31873085,50231948930d5e4bafb016537b44c054785f34f4f85e2d384d431f1e48ae9da0,1,RSA,0,1,MIPS,RTOS,1,SquashFS,6.87,6.03,7.09,6288,5,3,1,0,5,2677,209,1
FW0013,DJI,Phantom 4,v3.2.5,dji_phantom_4_13.fw,fw,9152271,d7fe64e8e60f77b088e6e8d33646d31c042d0129a84ddfa72166d6a2c226d0d1,1,RSA,0,1,MIPS,Linux,1,YAFFS,7.13,6.7,7.47,19332,1,2,0,0,21,1272,277,1
FW0014,DJI,Mini 3,v3.9.3,dji_mini_3_14.fw,fw,7215966,162b4815ff1cb60fe504a1295ba5b8e5e86258555e93a66113dcb99cddaf9590,1,ECDSA,0,1,MIPS,RTOS,1,SquashFS,5.95,6.22,7.1,2116,6,1,1,0,33,2551,193,1
FW0015,DJI,Phantom 4,v5.0.5,dji_phantom_4_15.bin,bin,31632133,548b0fba9ed9725e3e63312106b8ceb3c269df91caea728050c27df9e4065ae4,1,RSA,1,0,ARM,RTOS,1,YAFFS,7.24,6.85,7.75,13724,4,1,0,1,40,2464,299,1
FW0016,Parrot,Anafi,v4.0.2,parrot_anafi_16.bin,bin,28839754,6c92dcd38f3e60a1e86c7e1389d221175dcced646c96fae46db03b645a42eb40,1,ECDSA,1,0,MIPS,Linux,1,None,5.97,6.98,7.74,9288,4,3,1,1,19,1713,56,1
FW0017,Parrot,Bebop 2,v3.5.8,parrot_bebop_2_17.img,img,11348367,2328f585240143687e35a6a0103fe44770405849e933cf3ab48dfe812b59901f,1,ECDSA,1,0,ARM,RTOS,1,SquashFS,6.73,7.17,6.84,16239,6,2,1,2,37,1273,148,1
FW0018,Parrot,Bebop 2,v1.8.8,parrot_bebop_2_18.bin,bin,25782887,93acc99d651c7c58bacb024b087f053cb9d51526f6251abd49ff0354fe9fdd59,1,RSA,1,1,ARM,Bare-metal,1,YAFFS,6.8,6.63,6.94,11840,5,3,1,1,23,1321,99,1
FW0019,ArduPilot,Cube Black,v5.9.4,ardupilot_cube_black_19.fw,fw,27103230,f6e7fdafab359afa95598ffc64a2996846199498b305b060524cafd0e38b4cde,1,ECDSA,0,1,MIPS,Linux,1,YAFFS,7.06,6.53,7.15,16476,8,1,1,2,15,1147,122,1
FW0020,PX4,Pixhawk 4,v2.3.2,px4_pixhawk_4_20.bin,bin,24575276,3f8b308d9d0f3353fe0c6b6165c4b057b88189db573df1507c4b0dd675af2052,1,RSA,0,0,MIPS,Bare-metal,1,SquashFS,6.53,7.01,7.43,14582,8,3,0,0,5,1236,249,1
FW0021,ArduPilot,Cube Orange,v4.0.8,ardupilot_cube_orange_21.bin,bin,28981449,997879d66d82c7796e492f1ba07133a72acb445f3ba3d83c816ee2ae5d81fa12,1,RSA,0,1,ARM,RTOS,1,None,6.65,6.45,7.15,16502,7,3,0,2,35,2643,116,1
FW0022,Parrot,Bebop 2,v3.7.1,parrot_bebop_2_22.fw,fw,18260377,077ff2af8ddaee4f631d5d0a7f87217e2495bb8c393f6aaa818ac446ddeaffe4,1,ECDSA,0,1,MIPS,RTOS,1,None,5.93,5.76,7.22,7007,4,0,1,1,26,2708,156,1
