firmware_id,drone_vendor,drone_model,firmware_version,file_name,file_format,file_size_bytes,sha256_hash,is_signed,signature_type,encryption_used,compression_used,cpu_architecture,os_type,bootloader_present,filesystem_detected,entropy_score,avg_section_entropy,max_section_entropy,string_count,num_executables,num_scripts,hardcoded_ip_count,hardcoded_url_count,crypto_function_count,boot_time_ms,emulated_syscalls,clean_label
TFW0001,DJI,Phantom 4,v2.2.1,dji_phantom_4_1.fw,fw,11228452,364db767ded5545dcf1bf9646d9ecb2e302a48d2093f02db4217f770072fc2d4,0,None,1,0,ARM,Linux,0,SquashFS,7.77,7.54,8.61,19856,14,3,4,7,93,5015,1741,0
TFW0002,Parrot,Bebop 2,v2.5.1,parrot_bebop_2_2.img,img,11323815,a281375635e987be20018dc13251f4b147cc5cd2b4a99203b2f16b05c3a87cd9,0,None,1,0,MIPS,RTOS,1,,8.09,7.52,8.72,6090,9,2,2,5,112,4658,1673,0
TFW0003,DJI,Phantom 4,v1.3.1,dji_phantom_4_3.fw,fw,9646997,8033be982a6d8027efa5eba6afabc5d332898c662e54156c03a90913e11ef693,0,None,1,1,MIPS,Linux,1,YAFFS,8.39,8.12,8.23,4339,9,6,5,2,76,6380,1948,0
TFW0004,Parrot,Bebop 2,v3.6.4,parrot_bebop_2_4.bin,bin,9685577,31892069ee3c0ec8dd1ea923d15b6b547026f7b1018b910b83dae4e6489505f7,0,None,0,1,ARM,Bare-metal,0,YAFFS,8.26,7.52,8.56,10679,15,6,2,4,35,6767,1978,0
TFW0005,Parrot,Anafi,v1.1.2,parrot_anafi_5.fw,fw,18559643,4fc38a10767a72dba4f002236b3d263ba8910e71177a69adbe666c7a6882f72a,0,None,1,0,MIPS,RTOS,0,,8.33,7.54,8.51,2376,11,7,2,6,45,6770,1297,0
TFW0006,ArduPilot,Cube Orange,v5.2.8,ardupilot_cube_orange_6.fw,fw,31388747,e0cbbca9fad5beb21d62e402719868e277bb9710a0b0b7427a34d17dca2accd5,0,None,1,0,ARM,RTOS,0,SquashFS,8.19,7.98,8.75,2018,8,6,5,5,101,8829,1116,0
TFW0007,DJI,Phantom 4,v4.1.8,dji_phantom_4_7.fw,fw,4642648,616b4dd56668337c49fe39214831ebad5bb1de14aa0886443f821e00a08d4eaf,0,None,0,1,ARM,RTOS,0,,8.22,7.7,8.82,19671,17,3,1,4,47,4613,1679,0
TFW0008,ArduPilot,Cube Orange,v3.0.9,ardupilot_cube_orange_8.bin,bin,9539591,2ee9075a5b030585495afb986e3860af160516c8f81ce10601c99ba1f8ca642f,0,None,0,0,ARM,Bare-metal,1,,8.36,8.0,8.01,12827,8,7,4,2,81,7955,706,0
TFW0009,Parrot,Bebop 2,v4.3.1,parrot_bebop_2_9.bin,bin,28327459,abb57186cc01cd41f52b4c0181b298928c4f8b4008df250aa1d762f8c7a3165e,0,None,1,1,MIPS,RTOS,1,YAFFS,7.82,7.36,8.61,5224,13,9,2,3,77,4879,1567,0
TFW0010,ArduPilot,Cube Orange,v4.3.1,ardupilot_cube_orange_10.img,img,8156836,33c24f26ddcc9e4a9dd9aac91ca5b0ab262cd023356433c5acf7ec68db3edd8b,0,None,0,0,ARM,Linux,1,SquashFS,8.04,7.74,8.05,15141,10,2,5,6,72,8372,790,0
TFW0011,ArduPilot,Cube Black,v4.2.3,ardupilot_cube_black_11.img,img,25373732,134e796a789da00e03a96705ba98ba8350d76abacf52a4365700cc1f6842f03c,0,None,0,0,ARM,Bare-metal,0,YAFFS,7.8,7.33,8.49,19403,19,9,3,7,68,7108,1592,0
TFW0012,Parrot,Bebop 2,v2.9.9,parrot_bebop_2_12.bin,bin,31873085,50231948930d5e4bafb016537b44c054785f34f4f85e2d384d431f1e48ae9da0,0,None,0,1,MIPS,RTOS,1,SquashFS,8.49,7.36,8.26,6288,8,4,2,2,78,5346,1389,0
